"","api","chci","alternative","charter","lausd","lacounty","english","black","asian","latino","white","elep","highp","poverty"
"api",1,0.678069533973181,-0.551350967877399,-0.0011684903498799,-0.0832057830324178,-0.0125941990700358,-0.297086470280262,-0.211482543961286,0.381923787401719,-0.436392798545346,0.3710095794642,0.381342219773928,-0.47705248943155,-0.506226453899725
"chci",0.678069533973181,1,-0.171514490613104,0.0505238703774942,-0.203401877911678,-0.135296355272182,-0.619900581045361,-0.106912368449299,0.425564443230759,-0.792713558597146,0.669134960535059,0.114626441261962,-0.126258376586684,-0.853109488242178
"alternative",-0.551350967877399,-0.171514490613104,1,-0.0381059098602994,0.00421549742880395,-0.00932436256410838,-0.00263683668863685,0.056926726187151,-0.106806510744063,0.0637516757308914,-0.0391189907727511,-0.291725741972465,0.417164936942456,0.0306506886391279
"charter",-0.0011684903498799,0.0505238703774942,-0.0381059098602994,1,0.149757329589535,0.0586222093154691,-0.111853669498552,0.121593539896253,-0.0790599765967479,-0.0528044368661885,0.053382545192022,-0.100842084689975,0.0753286755542202,-0.0596141345476415
"lausd",-0.0832057830324178,-0.203401877911678,0.00421549742880395,0.149757329589535,1,0.628193967114127,0.0531650124684143,0.134995342045096,-0.101163270261207,0.253083156305281,-0.252270708567886,0.0164219119072693,0.0304522224896982,0.220609810983077
"lacounty",-0.0125941990700358,-0.135296355272182,-0.00932436256410838,0.0586222093154691,0.628193967114127,1,0.02995847497054,0.142474663499731,-0.0182311453870756,0.262454193227687,-0.300782875679384,0.0240570685114708,0.00689176351927905,0.161114345390554
"english",-0.297086470280262,-0.619900581045361,-0.00263683668863685,-0.111853669498552,0.0531650124684143,0.02995847497054,1,-0.0812202607501448,-0.103518669623646,0.702848143524929,-0.645359017240425,0.31197083575223,-0.203999042860419,0.629538243520514
"black",-0.211482543961286,-0.106912368449299,0.056926726187151,0.121593539896253,0.134995342045096,0.142474663499731,-0.0812202607501448,1,-0.0494354883831095,-0.117921966530221,-0.271392091046695,-0.025893010000295,0.0285154812809923,0.165070290456232
"asian",0.381923787401719,0.425564443230759,-0.106806510744063,-0.0790599765967479,-0.101163270261207,-0.0182311453870756,-0.103518669623646,-0.0494354883831095,1,-0.395284017351334,-0.0557743508423486,0.0671796838908424,-0.0785765770650684,-0.318364103143075
"latino",-0.436392798545346,-0.792713558597146,0.0637516757308914,-0.0528044368661885,0.253083156305281,0.262454193227687,0.702848143524929,-0.117921966530221,-0.395284017351334,1,-0.78319785172026,0.000178481809547186,0.0242160408925496,0.736299622821308
"white",0.3710095794642,0.669134960535059,-0.0391189907727511,0.053382545192022,-0.252270708567886,-0.300782875679384,-0.645359017240425,-0.271392091046695,-0.0557743508423486,-0.78319785172026,1,-0.027574763005404,0.00202932815490575,-0.690047206286138
"elep",0.381342219773928,0.114626441261962,-0.291725741972465,-0.100842084689975,0.0164219119072693,0.0240570685114708,0.31197083575223,-0.025893010000295,0.0671796838908424,0.000178481809547186,-0.027574763005404,1,-0.66438722489408,0.0466967974860071
"highp",-0.47705248943155,-0.126258376586684,0.417164936942456,0.0753286755542202,0.0304522224896982,0.00689176351927905,-0.203999042860419,0.0285154812809923,-0.0785765770650684,0.0242160408925496,0.00202932815490575,-0.66438722489408,1,-0.0467640289119898
"poverty",-0.506226453899725,-0.853109488242178,0.0306506886391279,-0.0596141345476415,0.220609810983077,0.161114345390554,0.629538243520514,0.165070290456232,-0.318364103143075,0.736299622821308,-0.690047206286138,0.0466967974860071,-0.0467640289119898,1
