"","api","chci","alternative","charter","lausd","lacounty","english","black","asian","latino","white","elep","highp","poverty"
"2410",817.5,101.7,0,1,1,1,39,0,0,100,0,100,0,100
"2411",785.5,114.4,0,1,1,1,26,11,1,88,0,17,0,94
"2412",859,171.7,0,1,1,1,1,2,4,34,51,0,100,43
"2413",752.5,119.4,0,1,1,1,62,5,0,94,1,100,0,93
"2414",739.5,113,0,1,1,1,19,6,1,88,0,0,100,98
"2415",737.5,160.1,0,1,1,1,0,99,0,1,0,57,0,44
"2416",747,127,0,1,1,1,10,4,1,78,15,0,48,77
"2417",752.5,105.4,0,1,1,1,22,1,1,95,0,0,100,96
"2418",921.5,119.6,0,1,1,1,13,2,1,97,0,28,0,90
"2419",695.5,144.5,0,1,1,1,0,97,0,1,1,0,100,68
"2420",513,107.4,1,0,1,1,24,20,0,73,3,0,94,86
"2421",806.5,148.4,0,1,1,1,1,89,0,10,0,22,0,79
"2422",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2423",805,181.8,0,1,1,1,0,16,2,31,49,0,0,29
"2424",683.5,132.5,0,1,1,1,0,93,0,6,0,0,100,88
"2425",741,105,0,1,1,1,16,1,0,98,1,0,100,95
"2426",901.5,173,0,1,1,1,4,8,3,58,25,0,41,63
"2427",NA,113.7,1,0,1,1,15,18,2,69,11,0,98,23
"2428",827.5,197.8,0,1,1,1,2,5,3,22,53,70,0,19
"2429",889.5,129.4,0,1,1,1,17,-1,1,97,1,100,0,89
"2430",703.5,118.5,0,1,1,1,10,38,0,60,1,0,100,88
"2431",849,114.9,0,1,1,1,13,1,0,95,2,0,0,88
"2432",821.5,118.3,0,1,1,1,36,0,4,94,1,100,0,93
"2433",771,137.2,0,1,1,1,22,24,1,73,1,100,0,100
"2434",767,119.3,0,1,1,1,36,24,0,75,1,0,44,84
"2435",553.5,108.9,1,0,1,1,25,6,2,90,1,0,98,71
"2436",804,108.9,0,0,1,1,1,35,0,65,0,0,100,81
"2437",927.5,141.2,0,0,1,1,0,14,6,61,3,0,100,74
"2438",843,167.9,0,1,1,1,8,11,7,37,32,42,23,16
"2439",921,117.3,0,1,1,1,32,4,0,95,1,100,0,98
"2440",797,103.1,0,1,1,1,9,0,1,98,0,0,100,99
"2441",775,116.7,0,1,1,1,11,7,0,88,4,0,100,80
"2442",797,105.2,0,1,1,1,22,2,0,97,1,0,100,97
"2443",838,102.3,0,1,1,1,9,5,0,95,0,0,100,95
"2444",712.5,118,0,1,1,1,18,0,0,96,2,0,0,81
"2445",733,112.2,0,0,1,1,48,5,1,90,3,100,0,94
"2446",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2447",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2448",802,105.1,0,0,1,1,55,6,1,91,1,100,0,81
"2449",724,99.5,0,0,1,1,49,6,0,94,0,100,0,86
"2450",691.5,107.3,0,0,1,1,28,2,1,94,1,0,0,100
"2451",686.5,114.5,0,0,1,1,20,1,0,99,0,0,0,81
"2452",783,102.6,0,0,1,1,7,3,1,95,1,0,100,88
"2453",754,130.2,0,0,1,1,8,4,4,64,20,0,100,68
"2454",744.5,113.2,0,0,1,1,11,3,0,97,0,0,44,84
"2455",837,138.4,0,1,1,1,2,7,1,71,13,0,100,37
"2456",795.5,168.4,0,1,1,1,1,9,1,27,53,0,100,40
"2457",892,123.1,0,1,1,1,21,4,5,86,3,56,0,88
"2458",746,98.3,0,1,1,1,16,8,0,92,0,0,100,91
"2459",756,108.3,0,1,1,1,19,3,0,97,0,0,0,95
"2460",900.5,114.7,0,1,1,1,13,52,0,48,0,73,0,99
"2461",916,181.1,0,1,1,1,2,10,15,21,48,49,8,37
"2462",798.5,115.6,0,1,1,1,11,1,0,98,0,0,100,96
"2463",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2464",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2465",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2466",858.5,94.9,0,0,1,1,51,0,0,100,0,100,0,100
"2467",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2468",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2469",799.5,116.2,0,0,1,1,78,3,13,82,1,100,0,100
"2470",794,118.4,0,0,1,1,30,2,7,87,4,100,0,100
"2471",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2472",814,102.2,0,0,1,1,54,0,0,99,1,100,0,100
"2473",754,117,0,0,1,1,49,3,0,89,5,100,0,100
"2474",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2475",838,120.9,0,0,1,1,37,1,4,84,2,100,0,100
"2476",811,111.1,0,0,1,1,35,1,0,99,0,92,4,84
"2477",779,98.8,0,0,1,1,51,4,0,96,0,100,0,100
"2478",790.5,104.8,0,0,1,1,33,7,0,93,0,100,0,100
"2479",729.5,122,0,0,1,1,35,25,1,72,2,100,0,100
"2480",868,118,0,0,1,1,30,1,0,98,1,100,0,100
"2481",731,110.2,0,0,1,1,51,3,2,93,0,100,0,100
"2482",685.5,108.9,0,0,1,1,51,2,0,96,1,100,0,86
"2483",813.5,113.8,0,0,1,1,33,4,1,90,5,100,0,96
"2484",793.5,114.7,0,0,1,1,46,2,1,84,12,100,0,100
"2485",819,118.3,0,0,1,1,28,1,0,99,0,100,0,81
"2486",773.5,110.9,0,0,1,1,33,1,0,99,0,100,0,100
"2487",752.5,110.9,0,0,1,1,23,1,3,96,0,76,0,100
"2488",624,98.6,0,0,1,1,30,6,0,94,0,0,100,100
"2489",683.5,109.9,0,0,1,1,21,2,0,98,0,0,100,100
"2490",686.5,109.5,0,0,1,1,18,1,0,98,1,0,100,85
"2491",607,99.1,1,0,1,1,23,2,0,96,0,0,100,85
"2492",790.5,119.4,0,1,1,1,9,1,1,97,0,0,100,85
"2493",828,118.1,0,1,1,1,39,0,0,99,0,84,0,94
"2494",839.5,119.7,0,1,1,1,8,1,0,96,1,0,100,81
"2495",788,133.6,0,1,1,1,20,3,2,89,3,0,0,92
"2496",867,165.1,0,1,1,1,6,4,4,30,57,56,0,36
"2497",671.5,113.5,0,1,1,1,32,1,0,97,1,0,39,92
