"","Var1","Freq"
"1","0",1
"2","1",1
"3","4",1
"4","5",2
"5","6",3
"6","7",1
"7","8",1
"8","9",3
"9","10",1
"10","11",3
"11","13",2
"12","15",3
"13","16",5
"14","17",2
"15","18",1
"16","19",3
"17","20",3
"18","21",4
"19","22",3
"20","23",3
"21","24",5
"22","26",1
"23","27",4
"24","28",1
"25","29",3
"26","32",5
"27","33",1
"28","34",2
"29","35",2
"30","36",1
"31","37",4
"32","39",2
"33","40",1
"34","41",2
"35","43",4
"36","44",7
"37","45",1
"38","46",1
"39","47",2
"40","48",4
"41","49",4
"42","50",1
"43","51",4
"44","52",4
"45","53",5
"46","54",2
"47","55",9
"48","56",5
"49","57",5
"50","58",3
"51","59",4
"52","60",6
"53","61",6
"54","62",9
"55","63",9
"56","64",7
"57","65",6
"58","66",7
"59","67",14
"60","68",13
"61","69",7
"62","70",10
"63","71",13
"64","72",12
"65","73",17
"66","74",13
"67","75",10
"68","76",23
"69","77",11
"70","78",10
"71","79",10
"72","80",18
"73","81",15
"74","82",12
"75","83",14
"76","84",25
"77","85",28
"78","86",15
"79","87",14
"80","88",30
"81","89",15
"82","90",11
"83","91",12
"84","92",13
"85","93",11
"86","94",14
"87","95",9
"88","96",9
"89","97",8
"90","98",8
"91","99",23
"92","100",295
