"","state","hl","hlus","hv","rent","mhi","hsg","density","tem","year.x","y2017","pir","year.y","Dvote","Rvote","Gallup","Nonwhite","Christian","Mhincome","Mhincomeg","D_Incumbent","R_Incumbent","Open_D_Previous"
"1","AK",0.261759,0.026956,245100,1120,67712,0.196762,1,2.9,2012,0,3.61974243856333,2012,42.6847095184396,57.3152904815604,50,37,18.798,62028,1.80856341744172,1,0,0
"2","AL",0.108206,0.032094,123200,689,41574,0.201777,96,49.9,2012,0,2.96339058065137,2012,38.7837714665623,61.2162285334377,50,33.4,50.164,44104,-1.34142690561727,1,0,0
"3","AR",0.142886,0.088566,107600,640,40112,0.210526,58,44.1,2012,0,2.682489030714,2012,37.8455946487704,62.1544053512296,50,26.1,46.022,41181,-2.71119066725011,1,0,0
"4","AZ",0.172702,0.047171,151500,888,47826,0.342254,62,45.2,2012,0,3.16773303224188,2012,45.3866197762968,54.6133802237032,50,43.1,14.615,49043,-1.05718415635526,1,0,0
"5","CA",0.315889,0.195187,349400,1200,58328,0.130081,254,47.7,2012,0,5.99026196680839,2012,61.8728111632966,38.1271888367034,50,60.8,11.766,56561,0.93182059671833,1,0,0
"6","CO",0.323311,0.183328,234900,934,56765,0.237908,54,28.8,2012,0,4.13811327402449,2012,52.7479883142025,47.2520116857975,50,30.6,16.855,59405,-1.39049272367794,1,0,0
"7","CT",0.116991,0.019318,267800,1019,67276,0.078194,741,31.2,2012,0,3.98061715916523,2012,58.7725774769071,41.2274225230929,50,30,12.269,66467,-1.91694054042491,1,0,0
"8","DE",0.109939,0.002399,226900,960,58415,0.26703,494,39.9,2012,0,3.88427629889583,2012,59.4469549192782,40.5530450807218,50,35.7,16.87,53148,-6.0926821284393,1,0,0
"9","FL",0.285244,0.182707,148200,954,45040,0.256242,391,59.3,2012,0,3.29040852575488,2012,50.4422521393662,49.5577478606338,50,43.2,20.852,46729,0.443639086894443,1,0,0
"10","GA",0.206999,0.123053,142300,837,47209,0.29364,181,49.7,2012,0,3.01425575631765,2012,46.0433509019433,53.9566490980567,50,45,38.282,48218,0.798457533075109,1,0,0
"11","HI",0.448458,0.180934,496600,1379,66259,0.153382,222,74,2012,0,7.49483089089784,2012,71.7038485010744,28.2961514989256,50,77.2,12.578,59118,-2.51109184598101,1,0,0
"12","IA",0.095239,0.004814,126300,661,50957,0.130486,56,26.1,2012,0,2.47856035480896,2012,52.9593519281002,47.0406480718998,50,12,35.091,53116,2.22380648966,1,0,0
"13","ID",0.123411,0.030476,154500,702,45489,0.298343,21,27.1,2012,0,3.39642550946383,2012,33.5786131564247,66.4213868435753,50,16.6,16.497,48886,0.50698731504491,1,0,0
"14","IL",0.109827,0.023256,170600,868,55137,0.126728,231,31.6,2012,0,3.094111032519,2012,58.5775233921169,41.4224766078831,50,37.1,20.132,52468,1.46248911859235,1,0,0
"15","IN",0.095767,0.013602,122700,715,46974,0.147971,186,32.1,2012,0,2.6120832801124,2012,44.7996254026727,55.2003745973273,50,19.1,29.736,46431,1.14028984860815,1,0,0
"16","KS",0.093023,0.011576,130100,711,50241,0.135453,36,35.5,2012,0,2.58951852073008,2012,38.8866732547469,61.1133267452531,50,22.6,31.677,49263,2.65818513340244,1,0,0
"17","KY",0.119306,0.020782,120800,636,41724,0.188352,113,38.1,2012,0,2.89521618253283,2012,38.4572276061951,61.5427723938049,50,14.2,40.442,41482,-0.780775482152163,1,0,0
"18","LA",0.168858,0.086145,139500,747,42944,0.181932,108,55,2012,0,3.24841654247392,2012,41.253174385886,58.746825614114,50,40.3,27.953,40882,-2.91149784586374,1,0,0
"19","MA",0.262792,0.010841,323800,1036,65339,0.077519,879,29.9,2012,0,4.95569261849738,2012,61.78568074906,38.21431925094,50,24.7,8.14,65078,-1.20237667108998,1,0,0
"20","MD",0.160464,0.059609,279900,1170,71122,0.136418,624,37,2012,0,3.93549112792104,2012,63.321725786906,36.678274213094,50,46.2,20.682,72108,-0.573652405795355,1,0,0
"21","ME",0.180182,0.002485,172300,744,46709,0.1774,43,18.3,2012,0,3.68879659166328,2012,57.8599213935771,42.1400786064229,50,5.90000000000001,11.49,50670,-1.31469125206898,1,0,0
"22","MI",0.127364,0.023486,115700,748,46859,0.113636,176,25.1,2012,0,2.46910945602766,2012,54.8005320711779,45.1994679288221,50,23.9,19.538,50683,-0.250138678966916,1,0,0
"23","MN",0.144002,0.018409,178400,813,58906,0.183047,70,18.5,2012,0,3.02855396733779,2012,53.9412264616982,46.0587735383018,50,17.7,32.412,61289,3.34987449764999,1,0,0
"24","MO",0.169958,0.038916,135000,706,45321,0.170316,89,35.8,2012,0,2.97875157211889,2012,45.22133324662,54.77866675338,50,19.5,33.079,48948,2.27919638407537,1,0,0
"25","MS",0.080893,0.045961,99800,666,37095,0.21895,64,50.4,2012,0,2.69038954036932,2012,44.1981008012122,55.8018991987878,50,42.5,47.605,39866,-3.2288262405248,1,0,0
