cdc,api,chci,alternative,charter,lausd,lacounty,english,black,asian,latino,white,elep,highp,poverty
01100170109835SE,776,168.2,0,1,0,0,19,10,20,12,53,46,22,46
01100170112607SH,637,123.5,0,1,0,0,12,45,2,41,5,0,100,72
01100170118489SE,791,129.4,0,1,0,0,22,32,1,66,0,40,60,75
01100170123968SE,693,161.4,0,0,0,0,21,29,6,26,21,100,0,42
01100170124172SE,944,212.2,0,0,0,0,4,4,38,2,12,100,0,13
01100170125567SE,676,177.3,0,0,0,0,18,26,4,31,29,100,0,43
01100170130401SHA,388.5,123.5,1,0,0,0,15,53,3,27,5,0,85,58
01100170130419SHA,519,121.2,1,0,0,0,16,31,3,46,12,0,85,69
01100170130427SHA,596,107.2,1,0,0,0,35,29,0,62,3,0,97,94
01100176001788SE,748.5,110.4,0,1,0,0,51,19,2,70,1,100,0,96
01100176002000SE,754,109.8,0,1,0,0,63,7,1,90,1,74,0,83
01316090131755SHE,508,151.3,1,0,0,0,10,7,5,33,43,21,48,62
01316170131763SHE,549,144.4,1,0,0,0,0,10,7,44,33,26,45,91
01611190106401SH,910.5,158.8,0,0,0,0,4,6,46,16,18,0,100,30
01611190111765SE,821.5,143.2,0,0,0,0,33,30,23,17,18,100,0,68
01611190119222SE,839,174.5,0,1,0,0,16,13,15,17,35,40,19,27
01611190122085SM,794,157.3,0,1,0,0,17,25,12,17,24,0,0,57
01611190126656SE,793,148.3,0,0,0,0,37,19,22,20,20,100,0,63
01611190130229SH,824.5,167.6,0,0,0,0,12,6,42,13,30,0,100,23
01611190130609SH,847,183.6,0,1,0,0,10,9,22,17,41,0,40,24
01611190130625SH,542,105.1,0,0,0,0,74,15,2,75,5,0,100,83
01611190132878SH,778.5,150.3,0,0,0,0,23,20,26,17,19,0,100,47
01611190134304SHA,536,136.4,1,0,0,0,18,24,7,26,21,0,100,49
01611196090005SE,885,167.6,0,1,0,0,34,8,36,12,25,100,0,35
01611196090013SE,945,191.7,0,0,0,0,9,2,15,7,66,100,0,12
01611196090021SE,909.5,185.5,0,0,0,0,20,4,24,16,44,100,0,19
01611196090039SE,909,182.2,0,0,0,0,11,5,16,15,54,100,0,19
01611196090047SE,842.5,147.1,0,0,0,0,39,12,35,19,17,100,0,56
01611196090054SM,908,173.2,0,0,0,0,9,5,40,10,36,0,0,22
01611196090112SM,776,139.8,0,0,0,0,29,17,31,20,15,0,0,64
