"","zipcode","total","information","professional","per"
"1",90001,9334,19,77,0.0102849796443111
"2",90002,3320,0,5,0.00150602409638554
"3",90003,6720,0,33,0.00491071428571429
"4",90004,10296,224,560,0.0761460761460761
"5",90005,6824,279,327,0.0888042203985932
"6",90006,9616,77,332,0.0425332778702163
"7",90007,14679,71,240,0.0211867293412358
"8",90008,6436,111,36,0.0228402734617775
"9",90009,7036,0,0,0
"10",90010,30392,860,4559,0.178303500921295
"11",90011,11296,0,92,0.00814447592067989
"12",90012,164826,2673,808,0.0211192408964605
"13",90013,19485,298,1809,0.10813446240698
"14",90014,13417,51,1601,0.123127375717373
"15",90015,37659,633,1155,0.0474786903529037
"16",90016,10722,760,640,0.130572654355531
"17",90017,65766,1693,13874,0.236702855578871
"18",90018,5487,9,107,0.021140878439949
"19",90019,8961,49,335,0.0428523602276532
"20",90020,15441,0,141,0.00913153293180493
"21",90021,29036,0,984,0.0338889654222345
"22",90022,19371,226,191,0.02152702493418
"23",90023,19028,76,465,0.0284317847382804
"24",90024,47867,1073,3027,0.085653999623958
"25",90025,35657,3174,5657,0.247665255069131
"26",90026,10240,127,386,0.05009765625
"27",90027,26661,1708,539,0.0842804095870372
"28",90028,33301,5558,2787,0.250593075283025
"29",90029,7478,53,88,0.0188553089061246
"30",90030,236,NA,0,NA
"31",90031,10721,83,314,0.0370301277865871
"32",90032,10450,3,0,0.000287081339712919
"33",90033,20474,50,333,0.0187066523395526
"34",90034,12118,594,823,0.116933487374154
"35",90035,12130,3034,387,0.282028029678483
"36",90036,30732,3799,2796,0.214597162566706
"37",90037,10085,0,38,0.00376797223599405
"38",90038,13850,3894,1346,0.378339350180505
"39",90039,9855,137,295,0.0438356164383562
"40",90040,46252,223,2236,0.0531652685289285
"41",90041,8704,171,336,0.0582490808823529
"42",90042,5408,50,115,0.0305103550295858
"43",90043,6562,14,26,0.00609570252971655
"44",90044,6916,0,0,0
"45",90045,78318,2072,2467,0.057956025434766
"46",90046,18734,983,1233,0.118287605423295
"47",90047,6091,10,87,0.0159251354457396
"48",90048,36081,578,2657,0.0896593775117098
"49",90049,19731,3424,1300,0.23942020171304
"50",90050,33,NA,NA,NA
"51",90051,110,NA,0,NA
"52",90052,3139,NA,0,NA
"53",90053,0,NA,NA,NA
"54",90054,166,NA,0,NA
"55",90055,6,NA,0,NA
"56",90056,2491,80,0,0.0321156162183862
"57",90057,11203,99,408,0.0452557350709631
"58",90058,38047,34,0,0.000893631560964071
"59",90059,4615,0,NA,NA
"60",90060,47,NA,NA,NA
"61",90061,7126,0,255,0.03578445130508
"62",90062,3106,4,3,0.00225370251126851
"63",90063,5517,0,90,0.0163132137030995
"64",90064,26993,6178,4460,0.394102174637869
"65",90065,9492,232,537,0.081015592077539
"66",90066,15772,1461,3472,0.312769464874461
"67",90067,30360,2740,9543,0.404578392621871
"68",90068,6230,657,477,0.182022471910112
"69",90069,21789,1037,1909,0.135205837808068
"70",90070,15,NA,0,NA
"71",90071,34985,0,12650,0.361583535801058
"72",90072,1,NA,NA,NA
"73",90073,4523,NA,0,NA
"74",90075,4,NA,0,NA
"75",90076,2,NA,NA,NA
"76",90077,2483,0,108,0.0434957712444623
"77",90078,34,0,5,0.147058823529412
"78",90079,997,38,100,0.138415245737212
"79",90080,1,NA,NA,NA
"80",90081,27,0,0,0
"81",90082,3,NA,0,NA
"82",90083,0,0,NA,NA
"83",90086,844,0,0,0
"84",90087,5,0,NA,NA
"85",90089,19307,0,4,0.000207178743460921
"86",90091,7,NA,NA,NA
"87",90093,96,0,3,0.03125
"88",90094,5705,1136,2164,0.578439964943032
"89",90095,10810,NA,73,NA
"90",90201,17496,128,199,0.0186899862825789
"91",90202,56,NA,0,NA
"92",90209,178,11,3,0.0786516853932584
"93",90210,23615,634,2595,0.13673512597925
"94",90211,12777,642,1412,0.160757611332864
"95",90212,16418,506,2369,0.175112681203557
"96",90213,207,0,0,0
"97",90220,31923,0,803,0.0251542774801867
"98",90221,15161,0,77,0.00507882065826792
"99",90222,3204,0,0,0
"100",90223,2,NA,NA,NA
"101",90224,150,NA,0,NA
"102",90230,33617,3017,1685,0.139869708778297
"103",90231,3668,0,0,0
"104",90232,21923,4771,3608,0.382201341057337
"105",90233,5,NA,NA,NA
"106",90239,158,NA,NA,NA
"107",90240,5684,21,144,0.0290288529204785
"108",90241,22117,260,288,0.024777320613103
"109",90242,14251,136,211,0.024349168479405
"110",90245,64305,5273,11426,0.259684316927144
"111",90247,13956,180,166,0.0247922040699341
"112",90248,34180,0,1883,0.0550906963136337
"113",90249,10837,0,100,0.00922764602749838
"114",90250,24747,130,463,0.0239625005051117
"115",90251,88,NA,0,NA
"116",90254,8007,531,489,0.127388535031847
"117",90255,14752,90,235,0.0220309110629067
"118",90260,6432,2,258,0.0404228855721393
"119",90261,1346,NA,8,NA
"120",90262,11115,34,159,0.0173639226270805
"121",90263,1603,NA,NA,NA
"122",90264,35,NA,0,NA
"123",90265,8378,279,983,0.15063260921461
"124",90266,17780,437,1979,0.135883014623172
"125",90267,109,0,14,0.128440366972477
"126",90270,4286,0,15,0.00349976668222119
"127",90272,4498,100,359,0.10204535349044
"128",90274,7942,170,916,0.136741374968522
"129",90275,5630,6,442,0.0795737122557726
"130",90277,11632,120,740,0.0739339752407153
"131",90278,13950,231,1047,0.0916129032258065
"132",90280,23566,88,609,0.029576508529237
"133",90290,848,39,52,0.107311320754717
"134",90291,15762,4585,1545,0.388910036797361
"135",90292,14497,544,2047,0.178726633096503
"136",90293,1467,23,257,0.190865712338105
"137",90294,22,NA,0,NA
"138",90295,26,NA,10,NA
"139",90296,35,NA,NA,NA
"140",90301,15025,126,213,0.0225623960066556
"141",90302,5001,0,108,0.0215956808638272
"142",90303,6229,0,61,0.00979290415797078
"143",90304,3804,0,21,0.0055205047318612
"144",90305,1073,NA,15,NA
"145",90306,27,NA,0,NA
"146",90307,9,NA,0,NA
"147",90308,42,NA,NA,NA
"148",90309,1,NA,NA,NA
"149",90310,139,NA,NA,NA
"150",90311,7,NA,NA,NA
"151",90312,40,NA,0,NA
"152",90401,30108,2900,3998,0.229108542580045
"153",90402,1717,124,146,0.157251019219569
"154",90403,9347,157,932,0.116507970471809
"155",90404,31296,8751,5013,0.439800613496933
"156",90405,18740,1520,2925,0.237193169690502
"157",90406,149,0,0,0
"158",90407,4,NA,0,NA
"159",90408,8,0,NA,NA
"160",90409,20,0,0,0
"161",90410,52,NA,NA,NA
"162",90501,26989,289,2391,0.0992997146985809
"163",90502,15805,0,1626,0.102878835811452
"164",90503,33522,657,1805,0.0734443052323847
"165",90504,8807,119,390,0.0577949358464857
"166",90505,30706,131,2314,0.0796261317006448
"167",90506,1904,NA,0,NA
"168",90507,76,NA,0,NA
"169",90508,1,NA,0,NA
"170",90509,2722,0,88,0.0323291697281411
"171",90510,59,NA,NA,NA
"172",90601,14003,0,150,0.0107119902877955
"173",90602,9827,0,152,0.0154675892948
"174",90603,4724,0,109,0.02307366638442
"175",90604,2846,NA,18,NA
"176",90605,8623,6,136,0.0164675866867679
"177",90606,6304,0,107,0.0169733502538071
"178",90607,159,NA,NA,NA
"179",90608,2355,0,NA,NA
"180",90609,18,NA,NA,NA
"181",90610,18,0,NA,NA
"182",90623,6984,0,614,0.0879152348224513
"183",90630,22814,855,1806,0.116638905934952
"184",90631,17438,66,304,0.0212180295905494
"185",90637,132,0,NA,NA
"186",90638,16012,77,529,0.037846615038721
"187",90639,1735,NA,NA,NA
"188",90640,23140,76,410,0.0210025929127053
"189",90650,24342,126,528,0.0268671432092679
"190",90651,117,NA,NA,NA
"191",90652,34,NA,0,NA
