,id,county,chci09,chci10,chci11,chci12,chci13,chci14,chci15,chci16,chci17,pop09,pop10,pop11,pop12,pop13,pop14,pop15,pop16,pop17,chcig,chcigr,popg,popgr,fips
1,1001,"Autauga County, Alabama",136.49,136.22,136.84,136.11,135.78,137.42,139.36,140.51,141.41,31469,33884,34581,35144,35696,36233,36319,36466,36757,4.92,0.036046597,5288,0.168038387,01001
2,1003,"Baldwin County, Alabama",142.02,141.53,141.96,142.54,143.09,143.75,144.69,145.35,146.35,118585,121560,124450,127271,130063,133267,137001,139946,143022,4.33,0.030488664,24437,0.206071594,01003
3,1005,"Barbour County, Alabama",122.87,124.83,124.79,125.39,124.91,125.74,124.16,125.15,123.69,19791,18879,18924,18982,18988,18836,18808,18387,18434,0.82,0.00667372,-1357,-0.06856652,01005
4,1007,"Bibb County, Alabama",121.36,121.12,120.85,121.14,124.2,123.35,125.42,127.23,127.92,14489,15082,15291,15518,15340,15683,15629,15750,15859,6.56,0.054054054,1370,0.09455449,01007
5,1009,"Blount County, Alabama",122.88,123.93,122.48,124.65,125.55,126.06,127.15,127.76,127.93,38472,38085,38473,38703,38846,39052,39408,39472,39475,5.05,0.041097005,1003,0.026070909,01009
6,1011,"Bullock County, Alabama",117.59,122.57,123.55,120.99,121.06,121.59,121.9,121.6,126.67,7115,7301,7537,7575,7510,7283,7438,7333,7377,9.08,0.07721745,262,0.036823612,01011
7,1013,"Butler County, Alabama",124.26,123.19,124.25,124.84,126.35,127.08,127.87,130.12,130.06,13378,14039,14096,14081,14080,14041,13996,13949,13958,5.8,0.046676324,580,0.043354762,01013
8,1015,"Calhoun County, Alabama",130.6,129.24,128.69,129.13,129.16,130.9,131.98,133.09,133.7,75911,77722,78106,78303,78545,78667,78700,78661,78975,3.1,0.0237366,3064,0.040363057,01015
9,1017,"Chambers County, Alabama",121.79,122.43,123.03,123.55,124.61,125.99,125.96,126.91,127.8,23901,23737,23740,23621,23756,23821,23814,23854,23698,6.01,0.049347237,-203,-0.008493368,01017
10,1019,"Cherokee County, Alabama",121.25,122.8,123.08,125.71,126.31,127.62,127.72,129.56,127.27,17756,18554,18634,18503,18777,18806,18734,18694,18797,6.02,0.049649485,1041,0.058628069,01019
