地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,,34117,28489,22300,18499,17854,16553.48,15517.9,17151,13224
天津市,,15139,12870,9931,8828,8390,8009.58,8547.64,7940,6605
河北省,,7039,6290,5530,4988,4640,4141.96,3766.75,3442,3210
山西省,,5457,4788,4742,4462,4211,3690.88,3231.44,3338,2552
内蒙古自治区,,4239,4042,3939,3833,3863,3656.41,3340.67,2983,2649
辽宁省,,6458,5876,5486,5107,4918,4717.21,4542.88,4303,3872
吉林省,,5748,4946,5213,4810,4228,3875.1,4161.17,3495,2788
黑龙江省,,6073,5029,4818,4517,4435,3725.51,3682.78,3492,3067
上海市,,24866,25910,21501,16415,16192,13869.88,13565.83,14290,12364
江苏省,,9070,8734,7177,6783,6650,6422.85,6145.2,5592,4805
浙江省,,13430,11447,10755,10586,11016,10679.69,9801.15,9332,7890
安徽省,,6137,5637,5067,5017,4776,4495.12,4371.24,3899,3235
福建省,,9284,9175,8565,8843,8618,8365.92,7451.95,6077,5366
江西省,,5800,5331,5107,4971,4905,4381.18,3822,2959,2517
山东省,,6153,5728,5290,5029,4797,4556.63,4298.78,3809,3390
河南省,,5038,4774,4317,3909,3835,3511.26,3123.15,2856,2501
湖北省,,7307,6457,5663,5085,4847,4668,4142.13,3506,3413
湖南省,,4846,4330,3974,3830,3908,3669.63,3523.65,3014,2532
广东省,,11416,10936,9495,8526,8466,7667.89,7560.85,7004,6360
广西壮族自治区,,5623,5042,4587,4442,4219,3909.83,3553.96,3382,3133
海南省,,11381,9775,9226,9262,8633,7811.26,9083.14,8800,6291
重庆市,,6605,5162,5012,5094,5239,4804.8,4492.3,4040,3266
四川省,,5888,5449,5034,5092,5086,4959.19,4595.13,3985,3434
贵州省,,4165,3704,3629,3694,3735,3695.36,3489.71,3142,2642
云南省,,5664,4812,4800,4451,4176,3861.01,3388.41,2893,2723
西藏自治区,,5604,4876,3605,5323,3883,2982.19,3311.55,2761,2392
陕西省,,6477,5264,5082,4823,4991,4803.05,4705.28,3668,3113
甘肃省,,5326,4817,4613,4234,3684,3376.08,3130.04,2938,2396
青海省,,5298,4612,4241,4294,3957,3692.21,3090.01,2894,2442
宁夏回族自治区,,4243,3925,4010,3747,3917,3620.77,3389.46,3107,2824
新疆维吾尔自治区,,4538,4204,4176,4057,3949,3593.82,3286.95,2872,2466
