地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,102.5,101.9,101.4,101.8,101.6,103.3,103.3,105.6,102.4,98.5
天津市,102,102.1,102.1,101.7,101.9,103.1,102.7,104.9,103.5,99
河北省,102.4,101.7,101.5,100.9,101.7,103,102.6,105.7,103.1,99.3
山西省,101.8,101.1,101.1,100.6,101.7,103.1,102.5,105.2,103,99.6
内蒙古自治区,101.8,101.7,101.2,101.1,101.6,103.2,103.1,105.6,103.2,99.7
辽宁省,102.5,101.4,101.6,101.4,101.7,102.4,102.8,105.2,103,100
吉林省,102.1,101.6,101.6,101.7,102,102.9,102.5,105.2,103.7,100.1
黑龙江省,102,101.3,101.5,101.1,101.5,102.2,103.2,105.8,103.9,100.2
上海市,101.6,101.7,103.2,102.4,102.7,102.3,102.8,105.2,103.1,99.6
江苏省,102.3,101.7,102.3,101.7,102.2,102.3,102.6,105.3,103.8,99.6
浙江省,102.3,102.1,101.9,101.4,102.1,102.3,102.2,105.4,103.8,98.5
安徽省,102,101.2,101.8,101.3,101.6,102.4,102.3,105.6,103.1,99.1
福建省,101.5,101.2,101.7,101.7,102,102.5,102.4,105.3,103.2,98.2
江西省,102.1,102,102,101.5,102.3,102.5,102.7,105.2,103,99.3
山东省,102.5,101.5,102.1,101.2,101.9,102.2,102.1,105,102.9,100
河南省,102.3,101.4,101.9,101.3,101.9,102.9,102.5,105.6,103.5,99.4
湖北省,101.9,101.5,102.2,101.5,102,102.8,102.9,105.8,102.9,99.6
湖南省,102,101.4,101.9,101.4,101.9,102.5,102,105.5,103.1,99.6
广东省,102.2,101.5,102.3,101.5,102.3,102.5,102.8,105.3,103.1,97.7
广西壮族自治区,102.3,101.6,101.6,101.5,102.1,102.2,103.2,105.9,103,97.9
海南省,102.5,102.8,102.8,101,102.4,102.8,103.2,106.1,104.8,99.3
重庆市,102,101,101.8,101.3,101.8,102.7,102.6,105.3,103.2,98.4
四川省,101.7,101.4,101.9,101.5,101.6,102.8,102.5,105.3,103.2,100.8
贵州省,101.8,100.9,101.4,101.8,102.4,102.5,102.7,105.1,102.9,98.7
云南省,101.6,100.9,101.5,101.9,102.4,103.1,102.7,104.9,103.7,100.4
西藏自治区,101.7,101.6,102.5,102,102.9,103.6,103.5,105,102.2,101.4
陕西省,102.1,101.6,101.3,101,101.6,103,102.8,105.7,104,100.5
甘肃省,102,101.4,101.3,101.6,102.1,103.2,102.7,105.9,104.1,101.3
青海省,102.5,101.5,101.8,102.6,102.8,103.9,103.1,106.1,105.4,102.6
宁夏回族自治区,102.3,101.6,101.5,101.1,101.9,103.4,102,106.3,104.1,100.7
新疆维吾尔自治区,102,102.2,101.4,100.6,102.1,103.9,103.8,105.9,104.3,100.7
