地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,,,11934724,11171250,10937374,9998366,,7373843,6134448,5289432
天津市,,,5365129,5605736,6326265,5699615,,4136097,2920970,2381672
河北省,,,14203834,12861641,10861672,10298143,,8447882,7192734,6145261
山西省,,,7942196,8442363,7036233,6918247,,5494903,4508195,3809096
内蒙古自治区,,,7624806,7072130,6393778,6121559,,5040005,4143731,3187733
辽宁省,,,9206907,8781171,8700533,9302062,,7809413,6242615,5349184
吉林省,,,6439837,5975239,5353180,5480347,,4293877,3445611,3006988
黑龙江省,,,7336607,7040039,6278812,6006258,,4838173,4048565,3486163
上海市,,,11218946,10131153,9892212,9069715,,7106255,5582736,4937339
江苏省,,,24020855,22463773,20800931,19862835,,15882132,13146233,11054890
浙江省,,,18908104,17568215,16079755,14490439,,12069078,10625688,8911507
安徽省,,,12357931,11578495,10457811,10413043,,8172010,5990868,4873316
福建省,,,10473975,10028329,8928771,8228012,,6344839,5341118,4479126
江西省,,,10468837,9732898,8930127,8284996,,6307866,4494597,3776516
山东省,,,22422970,20632259,18847752,17796161,,13727939,10395900,8397429
河南省,,,18902582,17411099,16385611,15577127,,11821418,9111164,7633496
湖北省,,,13009264,11435059,9874547,8972278,,6844038,5869164,5194495
湖南省,,,13781959,12223238,11285463,10784551,,7987607,6497608,5660684
广东省,,,33675376,30474906,27356552,24775503,,18846365,15327348,12843085
广西壮族自治区,,,10914241,10111559,8586224,7794191,,5938482,4941416,3873253
海南省,,,3068767,2809962,2413904,2222868,,1732237,1422673,1175474
重庆市,,,8863208,7971003,6979973,6565622,,5039550,4068437,3309977
四川省,,,17620946,16409562,14508458,13805525,,10244130,8951781,8088479
贵州省,,,10335342,9277347,7700061,6799795,,4510531,3669550,3094113
云南省,,,11886446,10455388,9199396,9006912,,6582935,5336317,4408081
西藏自治区,,,1857714,1919434,1529504,1206744,,826102,662293,597448
陕西省,,,10049114,9674438,9101672,8926920,,6838342,5143635,4637457
甘肃省,,,6706137,6134547,5181631,4811034,,3608174,3106736,2761110
青海省,,,2162973,2073501,1976886,1569408,,1552462,1062206,785820
宁夏回族自治区,,,2072544,1963258,1697964,1578935,,1313862,994671,813071
新疆维吾尔自治区,,,7823914,7132774,6349792,5989856,,4605867,3655998,2959264
