地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,,113,108,104,99,155,95,142,136,129
天津市,,65,61,59,56,81,55,73,71,69
河北省,,57,53,50,48,44,43,41,40,37
山西省,,63,61,58,57,58,55,55,56,54
内蒙古自治区,,71,68,65,62,60,56,53,51,55
辽宁省,,67,63,60,58,60,56,55,55,53
吉林省,,62,61,58,55,54,52,51,51,49
黑龙江省,,61,58,56,55,55,52,51,50,46
上海市,,77,74,70,68,110,62,99,97,95
江苏省,,68,65,61,58,56,50,47,44,42
浙江省,,81,77,73,68,73,60,64,61,56
安徽省,,50,47,46,44,37,39,32,31,31
福建省,,59,57,55,54,54,47,45,41,37
江西省,,51,48,46,44,39,40,35,34,33
山东省,,69,65,63,62,62,55,50,47,44
河南省,,61,57,55,52,42,46,36,35,34
湖北省,,68,65,63,58,50,50,43,42,40
湖南省,,61,58,55,51,45,45,40,38,36
广东省,,63,60,57,54,63,49,56,53,50
广西壮族自治区,,62,60,57,54,44,47,38,36,33
海南省,,65,63,60,56,53,51,48,44,43
重庆市,,62,59,55,52,42,45,36,34,31
四川省,,64,60,58,56,47,48,39,36,34
贵州省,,63,58,53,48,36,37,27,25,24
云南省,,59,52,48,44,42,36,33,32,30
西藏自治区,,49,45,44,41,37,30,36,34,35
陕西省,,81,76,70,67,60,58,50,47,45
甘肃省,,56,52,50,49,43,43,39,37,34
青海省,,70,62,60,58,57,51,49,45,44
宁夏回族自治区,,73,66,62,60,56,53,49,47,45
新疆维吾尔自治区,,71,71,69,67,64,61,59,57,55
数据来源：国家统计局,,,,,,,,,,
指标：每万人拥有卫生技术人员数(人),,,,,,,,,,
