地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,,5300,5028,5218,5429,5469,5534,5613,6196,6410
天津市,,4072,4058,4185,4283,4346,4358,4329,4412,4432
河北省,,2328,2191,2141,2098,2108,2063,2006,1951,1871
山西省,,2401,2439,2504,2519,2474,2351,2202,2132,2050
内蒙古自治区,,1969,1937,2035,2156,2137,2042,1920,1884,1794
辽宁省,,2859,2845,2876,2933,2903,2811,2712,2671,2659
吉林省,,3038,3048,3169,3168,3033,2889,2807,2716,2695
黑龙江省,,2403,2427,2518,2555,2529,2441,2409,2447,2420
上海市,,3498,3327,3330,3348,3421,3481,3556,4300,4393
江苏省,,3045,2937,2896,2858,2814,2786,2824,2819,2786
浙江省,,2345,2355,2414,2408,2363,2288,2218,2285,2303
安徽省,,2250,2259,2309,2245,2203,2101,2007,1841,1742
福建省,,2352,2438,2508,2513,2435,2301,2200,2144,2039
江西省,,2676,2698,2654,2527,2381,2295,2212,2162,2118
山东省,,2519,2620,2516,2421,2304,2238,2191,2202,2153
河南省,,2455,2352,2293,2203,2114,2012,1901,1839,1774
湖北省,,3000,2950,3038,3121,3144,3078,2991,2906,2829
湖南省,,2419,2251,2215,2160,2106,2087,2054,2051,2040
广东省,,2454,2431,2434,2356,2199,2082,1978,2037,1952
广西壮族自治区,,2383,2279,2178,2052,1939,1834,1688,1530,1436
海南省,,2261,2258,2290,2317,2253,2218,2079,2036,2001
重庆市,,3084,3059,3071,3017,2894,2734,2522,2413,2317
四川省,,2339,2314,2312,2244,2140,2037,1904,1790,1732
贵州省,,2129,2005,1819,1690,1535,1392,1254,1109,1043
云南省,,1999,1889,1819,1731,1662,1566,1520,1391,1298
西藏自治区,,1678,1765,1766,1676,1528,1508,1446,1373,1317
陕西省,,3582,3540,3628,3652,3612,3525,3378,3208,3045
甘肃省,,2217,2189,2194,2219,2193,2145,2041,1882,1806
青海省,,1391,1319,1275,1220,1162,1133,1082,1119,1080
宁夏回族自治区,,2278,2225,2244,2255,2195,2107,1912,1868,1721
新疆维吾尔自治区,,1863,1780,1759,1749,1681,1596,1521,1467,1430
注：高等学校包括普通高等学校和成人高等学校。,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,
指标：每十万人口高等学校平均在校生数(人),,,,,,,,,,
