地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,62361.22,57229.83,52530.38,48457.99,44488.57,40830.04,,,,
天津市,39506.15,37022.33,34074.46,31291.36,28832.29,26359.2,,,,
河北省,23445.65,21484.13,19725.42,18118.09,16647.4,15189.64,,,,
山西省,21990.14,20420.01,19048.88,17853.67,16538.32,15119.72,,,,
内蒙古自治区,28375.65,26212.23,24126.64,22310.09,20559.34,18692.89,,,,
辽宁省,29701.45,27835.44,26039.7,24575.58,22820.15,20817.84,,,,
吉林省,22798.37,21368.32,19966.99,18683.65,17520.39,15998.12,,,,
黑龙江省,22725.85,21205.79,19838.5,18592.65,17404.39,15903.45,,,,
上海市,64182.65,58987.96,54305.35,49867.17,45965.83,42173.64,,,,
江苏省,38095.79,35024.09,32070.1,29538.85,27172.77,24775.54,,,,
浙江省,45839.84,42045.69,38529,35537.09,32657.57,29774.99,,,,
安徽省,23983.58,21863.3,19998.1,18362.57,16795.52,15154.31,,,,
福建省,32643.93,30047.75,27607.93,25404.36,23330.85,21217.95,,,,
江西省,24079.68,22031.45,20109.56,18437.11,16734.17,15099.68,,,,
山东省,29204.61,26929.94,24685.27,22703.19,20864.21,19008.26,,,,
河南省,21963.54,20170.03,18443.08,17124.75,15695.18,14203.71,,,,
湖北省,25814.54,23757.17,21786.64,20025.56,18283.23,16472.46,,,,
湖南省,25240.75,23102.71,21114.79,19317.49,17621.74,16004.9,,,,
广东省,35809.9,33003.29,30295.8,27858.86,25684.96,23420.75,,,,
广西壮族自治区,21485.03,19904.76,18305.08,16873.42,15557.08,14082.3,,,,
海南省,24579.04,22553.24,20653.44,18978.97,17476.46,15733.28,,,,
重庆市,26385.84,24152.99,22034.14,20110.11,18351.9,16568.67,,,,
四川省,22460.55,20579.82,18808.26,17220.96,15749.01,14230.99,,,,
贵州省,18430.18,16703.65,15121.15,13696.61,12371.06,11083.06,,,,
云南省,20084.19,18348.34,16719.9,15222.57,13772.21,12577.87,,,,
西藏自治区,17286.06,15457.3,13639.24,12254.3,10730.22,9740.43,,,,
陕西省,22528.26,20635.21,18873.74,17394.98,15836.75,14371.55,,,,
甘肃省,17488.39,16011,14670.31,13466.59,12184.71,10954.4,,,,
青海省,20757.26,19001.02,17301.76,15812.7,14373.98,12947.84,,,,
宁夏回族自治区,22400.42,20561.66,18832.28,17329.09,15906.78,14565.78,,,,
新疆维吾尔自治区,21500.24,19975.1,18354.65,16859.11,15096.62,13669.62,,,,
