地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,2154,2171,2173,2171,2152,2115,2069,2019,1962,1860
天津市,1560,1557,1562,1547,1517,1472,1413,1355,1299,1228
河北省,7556,7520,7470,7425,7384,7333,7288,7241,7194,7034
山西省,3718,3702,3682,3664,3648,3630,3611,3593,3574,3427
内蒙古自治区,2534,2529,2520,2511,2505,2498,2490,2482,2472,2458
辽宁省,4359,4369,4378,4382,4391,4390,4389,4383,4375,4341
吉林省,2704,2717,2733,2753,2752,2751,2750,2749,2747,2740
黑龙江省,3773,3789,3799,3812,3833,3835,3834,3834,3833,3826
上海市,2424,2418,2420,2415,2426,2415,2380,2347,2303,2210
江苏省,8051,8029,7999,7976,7960,7939,7920,7899,7869,7810
浙江省,5737,5657,5590,5539,5508,5498,5477,5463,5447,5276
安徽省,6324,6255,6196,6144,6083,6030,5988,5968,5957,6131
福建省,3941,3911,3874,3839,3806,3774,3748,3720,3693,3666
江西省,4648,4622,4592,4566,4542,4522,4504,4488,4462,4432
山东省,10047,10006,9947,9847,9789,9733,9685,9637,9588,9470
河南省,9605,9559,9532,9480,9436,9413,9406,9388,9405,9487
湖北省,5917,5902,5885,5852,5816,5799,5779,5758,5728,5720
湖南省,6899,6860,6822,6783,6737,6691,6639,6596,6570,6406
广东省,11346,11169,10999,10849,10724,10644,10594,10505,10441,10130
广西壮族自治区,4926,4885,4838,4796,4754,4719,4682,4645,4610,4856
海南省,934,926,917,911,903,895,887,877,869,864
重庆市,3102,3075,3048,3017,2991,2970,2945,2919,2885,2859
四川省,8341,8302,8262,8204,8140,8107,8076,8050,8045,8185
贵州省,3600,3580,3555,3530,3508,3502,3484,3469,3479,3537
云南省,4830,4801,4771,4742,4714,4687,4659,4631,4602,4571
西藏自治区,344,337,331,324,318,312,308,303,300,296
陕西省,3864,3835,3813,3793,3775,3764,3753,3743,3735,3727
甘肃省,2637,2626,2610,2600,2591,2582,2578,2564,2560,2555
青海省,603,598,593,588,583,578,573,568,563,557
宁夏回族自治区,688,682,675,668,662,654,647,639,633,625
新疆维吾尔自治区,2487,2445,2398,2360,2298,2264,2233,2209,2185,2159
注：2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,
指标：年末常住人口(万人),,,,,,,,,,
