地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,,1.4,1.4,1.4,1.3,1.2,1.3,1.4,1.4,1.4
天津市,,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6
河北省,,3.7,3.7,3.6,3.6,3.7,3.7,3.8,3.9,3.9
山西省,,3.4,3.5,3.5,3.4,3.1,3.3,3.5,3.6,3.9
内蒙古自治区,,3.6,3.7,3.7,3.6,3.7,3.7,3.8,3.9,4
辽宁省,,3.8,3.8,3.4,3.4,3.4,3.6,3.7,3.6,3.9
吉林省,,3.5,3.5,3.5,3.4,3.7,3.7,3.7,3.8,4
黑龙江省,,4.2,4.2,4.5,4.5,4.4,4.2,4.1,4.3,4.3
上海市,,3.9,4.1,4,4.1,4,3.1,3.5,4.4,4.3
江苏省,,3,3,3,3,3,3.1,3.2,3.2,3.2
浙江省,,2.7,2.9,2.9,3,3,3,3.1,3.2,3.3
安徽省,,2.9,3.2,3.1,3.2,3.4,3.7,3.7,3.7,3.9
福建省,,3.9,3.9,3.7,3.5,3.6,3.6,3.7,3.8,3.9
江西省,,3.3,3.4,3.4,3.3,3.2,3,3,3.3,3.4
山东省,,3.4,3.5,3.4,3.3,3.2,3.3,3.4,3.4,3.4
河南省,,2.8,3,3,3,3.1,3.1,3.4,3.4,3.5
湖北省,,2.6,2.4,2.6,3.1,3.5,3.8,4.1,4.2,4.2
湖南省,,4,4.2,4.1,4.1,4.2,4.2,4.2,4.2,4.1
广东省,,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.6
广西壮族自治区,,2.2,2.9,2.9,3.2,3.3,3.4,3.5,3.7,3.7
海南省,,2.3,2.4,2.3,2.3,2.2,2,1.7,3,3.5
重庆市,,3.4,3.7,3.6,3.5,3.4,3.3,3.5,3.9,4
四川省,,4,4.2,4.1,4.2,4.1,4,4.2,4.1,4.3
贵州省,,3.2,3.2,3.3,3.3,3.3,3.3,3.6,3.6,3.8
云南省,,3.2,3.6,4,4,4,4,4.1,4.2,4.3
西藏自治区,,2.7,2.6,2.5,2.5,2.5,2.6,3.2,4,3.8
陕西省,,3.3,3.3,3.4,3.3,3.3,3.2,3.6,3.9,3.9
甘肃省,,2.7,2.2,2.1,2.2,2.3,2.7,3.1,3.2,3.3
青海省,,3.1,3.1,3.2,3.2,3.3,3.4,3.8,3.8,3.8
宁夏回族自治区,,3.9,3.9,4,4,4.1,4.2,4.4,4.4,4.4
新疆维吾尔自治区,,2.6,2.5,2.9,3.2,3.4,3.4,3.2,3.2,3.8
数据来源：国家统计局,,,,,,,,,,
指标：城镇登记失业率(%),,,,,,,,,,
