"year","province","MR","DR","POP","GDP","INC","CON","CPI","HEET","HP","UR","GR","SAV","MN","DN","GDPC","SAVPG"
2015,"广东省",0.0154926721356807,0.00356530555811596,10849,72812.55,27858.86,20975.7,101.5,2434,9495,2.5,13.51,57746.0666666683,84.04,19.34,6.7114526684487,0.79307848257846
2016,"安徽省",0.0230277598450613,0.00701097482246611,6196,24407.62,19998.1,14711.53,101.8,2259,5637,3.2,5.52,17751.9400000004,71.34,21.72,3.9392543576501,0.727311388820393
2016,"江西省",0.0131533101045296,0.00444686411149826,4592,18499,20109.56,13258.62,102,2698,5331,3.4,8.45,13115.7695238097,30.2,10.21,4.02852787456446,0.708998839062093
2010,"安徽省",0.021890213194561,0.00369313412791674,5957,12359.33,9776.17161904555,6470.81257142685,103.1,1841,3899,3.7,5.16676691729327,7788.5,65.2,11,2.07475742823569,0.630171700245887
2014,"浙江省",0.0158605664488017,0.00493100944081336,5508,40173.03,32657.57,22551.97,102.1,2408,10586,3,9.98,30666.4,43.68,13.58,7.29357843137255,0.763357904544417
2014,"江苏省",0.0209673366834171,0.00548492462311558,7960,65088.32,27172.77,19163.56,102.2,2858,6783,3,1.66,36580.6,83.45,21.83,8.17692462311558,0.56201481310318
2011,"吉林省",0.0173299381593307,0.00737722808293925,2749,10568.83,13368.5149523793,9965.17419047514,105.2,2807,4161.17,3.7,4.48,5835.3,23.82,10.14,3.84460894870862,0.552123555776751
2018,"四川省",0.0175968775393305,0.00784837949086849,8341,40678.13,22460.55,17663.55,101.7,2508.80555555556,6104.02583333332,4.05833333333334,0.366867167919963,36471.9619047642,73.3877777777778,32.731666666667,4.87688886224673,0.896598784279518
2015,"吉林省",0.017035960770069,0.00925535779150018,2753,14063.13,18683.65,13763.91,101.7,3169,5213,3.5,2.02,9316.88000000035,23.45,12.74,5.10829277152198,0.662504008709324
2009,"辽宁省",0.0175858097212624,0.00605851186362589,4341,15212.49,13983.1525714262,9392.94857142679,100,2659,3872,3.9,1.36,12030.9,38.17,13.15,3.50437456807187,0.790856723652735
2018,"湖南省",0.0136952215296901,0.00617150633747248,6899,36425.78,25240.75,18807.94,102,2362.91666666666,4925.12027777772,4.08611111111111,2.78137844611547,23258.0771428579,47.2416666666659,21.2886111111113,5.27986374836933,0.638505946690996
2017,"西藏自治区",0.0202373887240356,0.00237388724035608,337,1310.92,15457.3,10320.12,101.6,1678,5604,2.7,0.849999999999994,761.430476190493,3.41,0.4,3.8899703264095,0.580836722447207
2010,"广东省",0.0164160521022891,0.00243271717268461,10441,46013.06,15778.2436190452,12169.0843809503,103.1,2037,7004,2.5,8.9625563909774,36318.7,85.7,12.7,4.40695910353414,0.789312860305313
2014,"贵州省",0.0249258836944128,0.00545610034207526,3508,9266.39,12371.06,9303.35,102.4,1690,3694,3.3,4.68000000000001,6620.6,43.72,9.57,2.64150228050171,0.714474568845041
2018,"浙江省",0.0125206747622644,0.0056039742025449,5737,56197.15,45839.84,29470.68,102.3,2405.16666666667,13075.1219444444,2.7027777777778,12.8353884711773,41744.0266666682,35.9155555555553,16.075,9.79556388356284,0.742813944598049
2013,"内蒙古自治区",0.017742193755004,0.00646116893514812,2498,16916.5,18692.89,14877.66,103.2,2137,3863,3.7,7.91,7455.2,22.16,8.07,6.77201761409127,0.440705819761771
2010,"陕西省",0.0185809906291834,0.00342704149933066,3735,10123.48,9370.06371428398,8296.30247618933,104,3208,3668,3.9,5.76917293233055,7957.8,34.7,6.4,2.71043641231593,0.78607356363622
2014,"广西壮族自治区",0.0198695835086243,0.00424484644509886,4754,15672.89,15557.08,10274.31,102.1,2052,4442,3.2,8.36,10023,47.23,10.09,3.29677955405974,0.639511921540954
2018,"云南省",0.0192926155969634,0.0055743041177824,4830,17881.12,20084.19,14249.93,101.6,2074.52777777778,5829.89416666667,3.39999999999995,4.60511278195486,13927.8780952385,46.5916666666667,13.4619444444445,3.70209523809524,0.778915308170767
2010,"海南省",0.0260069044879171,0.00207134637514384,869,2064.5,10389.028190474,7603.8820952368,104.8,2036,8800,3,12.6784210526314,1667.1,11.3,0.9,2.37571921749137,0.807507871155243
2011,"北京市",0.0171570084200099,0.00430906389301634,2019,16251.93,31703.4531428516,24957.4068571404,105.6,5613,15517.9,1.4,4.09,19126.1,17.32,4.35,8.04949479940565,1.1768509955433
2018,"吉林省",0.0162592455621302,0.0106083579881657,2704,15074.62,22798.37,17200.41,102.1,3232.36111111111,5965.32666666666,3.34444444444445,2.35110275689226,11763.6200000006,21.9825000000001,14.3425,5.57493343195266,0.780359305906257
2009,"河南省",0.0181047749552019,0.00262253610203436,9487,19480.46,7989.86180952145,5927.60580952233,99.4,1774,2501,3.5,2.53,11207.4,85.88,12.44,2.05338463160114,0.575314956628334
2014,"广东省",0.0166262588586348,0.00331779186870571,10724,67809.85,25684.96,19205.5,102.3,2356,8526,2.4,18.62,52410.6,89.15,17.79,6.32318631107796,0.772905411234503
2012,"西藏自治区",0.00902597402597403,0.000844155844155844,308,701.03,7855.1586666652,5223.12733333209,103.5,1508,2982.19,2.6,-1.28,403.9,1.39,0.13,2.27607142857143,0.576152233142662
2013,"广西壮族自治区",0.02,0.00394998940453486,4719,14449.9,14082.3,9596.5,102.2,1939,4219,3.3,9.44,9118.9,47.19,9.32,3.06206823479551,0.631070111211842
